"mcpi","project","owner","ownership_cat","lon","lat","overall_sqft","built_status","zoning","place_type","policy_area","gis_acres","n_buildings","total_bldg_sqft","earliest_permit","latest_permit","earliest_year","n_built","n_under_construction","addresses"
"030292034000","45865 MARIES ROAD","MECP 1 ASHBURN 2 LLC","Private",-77.414927,39.021703,416115,"UNDER CONSTRUCTION","IP","SUBURBAN EMPLOYMENT","SUBURBAN",9.61876737671881,1,416115,"2025-02-26","2025-02-26",NA,0,1,"45831 MARIES RD"
"044155625000","BROAD RUN TECHNOLOGY PARK","QTS INVESTMENT PROPERTIES ASHBURN LLC","PRIVATE",-77.449126,38.998029,189890,"UNDER CONSTRUCTION","IP","SUBURBAN EMPLOYMENT","SUBURBAN",7.25640073202867,1,189890,"2025-01-15","2025-01-15",NA,0,1,"22280 RANDOLPH DR"
"089496314000","LOUDOUN METRO","CONDOMINIUM COMMON ELEMENT  ","Private",-77.475656,39.006292,478908,"UNDER CONSTRUCTION","OP","URBAN TRANSIT CENTER","URBAN",24.8976404114583,1,478908,"2025-02-13","2025-02-13",NA,0,1,"22235 LOUDOUN COUNTY PKWY"
"060170268000","ASHBURN CORPORATE CENTER","FOX PROPERTIES LLC","Private",-77.463025,39.019973,611491,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",32.1117131812285,2,611491,"2008-03-13","2010-08-20",2009,2,0,"44521 HASTINGS DR; 44461 CHILUM PL"
"061467942000","ASHBURN CORPORATE CENTER","ALSHAIN VENTURES LLC","Private",-77.465072,39.017321,446513,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",25.4157770174397,1,446513,"2013-06-07","2013-06-07",2014,1,0,"21625 GRESHAM DR"
"060178810000","ASHBURN CORPORATE CENTER","GRIZZLY VENTURES LLC","Private",-77.463259,39.018304,286865,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",18.5621879211102,1,286865,"2006-08-30","2006-08-30",2007,1,0,"44480 HASTINGS DR"
"060189720000","BEAUMEADE","21673 BEAUMEADE CIRCLE LLC","Private",-77.457477,39.019121,455795,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",22.6313290867639,1,455795,"2022-09-13","2022-09-13",2023,1,0,"21745 BEAUMEADE CIR"
"061483407000","BEAUMEADE","EQUINIX LLC","Private",-77.457988,39.015341,779265,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",31.9154072828493,6,779265,"1997-12-04","2009-10-26",1998,6,0,"21691 FILIGREE CT; 21701 FILIGREE CT; 21721 FILIGREE CT"
"061450432000","ASHBURN TECHNOLOGY PARK (BOS OF LOUDOUN COUNTY)","NTT GLOBAL DATA CENTERS VA LLC","Private",-77.471389,39.017331,1085670,"BUILT/UNDER CONSTRUCTION","IP","SUBURBAN EMPLOYMENT","SUBURBAN",53.7331153900075,5,1085670,"2017-01-27","2025-05-08",2018,4,1,"44760 GIGABIT PLZ; 44245 GIGABIT PLZ; 44371 GIGABIT PLZ"
"087100681000","ASHBURN TECHNOLOGY PARK (BOS OF LOUDOUN COUNTY)","NTT GLOBAL DATA CENTERS VA LLC","Private",-77.473814,39.016572,217934,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",24.1876510280587,1,217934,"2022-08-09","2022-08-09",2023,1,0,"44710 GIGABIT PLZ"
